会社名,代表者,HP,電話番号,住所,会社メール,その他連絡方法,営業担当名,初回コンタクト日,属性,確度,状況,備考,掲載サイト,2回目以降最新コンタクト日
株式会社エクスライズ,,https://exrise.co.jp/,03-6421-8955,〒150-0002 東京都渋谷区渋谷 2-5-2 アクロポリス渋谷ビル 3F,,https://exrise.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,"システム・インテグレーション事業
製造業向け 設備管理システムの構築・運用・保守
各種業務アプリケーションの構築・運用・保守
各種ソフトウェア開発
WEBソリューション事業
ECサイトの構築・運用・保守
ASPサービスの構築・運用・保守
ビジネスブログ・グループウェアの構築・運用・保守
各種WEBサイト構築のコンサルティング及び製作
コンサルティング・教育事業
ITSS 準拠の教育設計・プランニング
システムエンジニア育成プログラムの開発
技術者の教育・講師派遣
エンタープライズ・コンテンツ・マネジメント(ECM)事業
ECMシステムの構築・運用・保守
",,
株式会社キャリアヴィジョン,,https://careervision.jp/,03-5348-5715,〒160-0023　東京都新宿区西新宿７丁目１６−１　石原ビル２０１,,https://careervision.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"・Webシステム企画提案開発
・モバイルコンテンツ事業
・アウトソージング事業
・ビジネスコンサルティング
・採用コンサルティング
・営業代行支援及び販売代理店
・有料職業紹介業　13-ﾕ-307338
・労働者派遣事業　派13-306096
",,
ナーセント・テクノロジー株式会社,,https://nas-tec.co.jp/,,東京都中央区日本橋蛎殻町1-3-5共同ビル（兜町）２F​​,,https://www.nas-tec.co.jp/blank,経岩宗高,,開発,E：未接触,未契約,"事業内容：ソフトウェア開発

・ソフトウェア・アプリケーションの設計・開発
・ソフトウェア開発技術者
・システム・エンジニア
・プロジェクト・リーダー
・プロジェクト・マネージャー
・顧客との打ち合わせ",,
株式会社シグマクレスト,,https://www.sigma-crest.com/,03-6417-4161,〒141-0031 東京都品川区西五反田１－１１－１ アイオス五反田駅前５０８ ,info@sigma-crest.com,https://reg34.smp.ne.jp/regist/is?SMPFORM=lhnh-lipct-90b94cb43d92a4ae55dc760ee5154dcc,経岩宗高,,開発（プロダクト）,E：未接触,未契約,,,
株式会社ザクロ,,https://xacro.jp/,052-253-6633,〒460-0002 愛知県名古屋市中区丸の内3-17-6 ナカトウ丸の内ビル6F,info@xacro.jp,https://xacro.jp/contact,経岩宗高,,開発,E：未接触,未契約,"・東京および名古屋にてWeb系およびオープン系のシステム開発を行っています
・既存システムとの連携やパッケージソフトを利用してのカスタマイズ開発などの複雑なシステム構築を得意としております
・ページ数の多い大規模なCMS構築やユーザー数の多いコミュニティサイトの構築など幅広く対応致します
・ECカートシステムやEラーニングシステムのスクラッチ開発の経験あります
・POSシステムと連携した売上・受発注・在庫管理システムの開発など泥臭いシステム開発も大歓迎です",,
株式会社Peer Lodge,,https://peer-lodge.com/,,〒141-0031 東京都品川区西五反田8丁目1−8 中村屋ビル4F,,https://datais.co.jp/contact,経岩宗高,,その他,E：未接触,未契約,"■成果報酬型フォームマーケティング「ABMフォーム」

初期費用無料・1アポ2.5万円〜、成果報酬型でアポ獲得	
https://peer-lodge.com/abm/form

・アポ獲得単価 ¥ 25,000 / 件〜（初期費用無料）
・全国500万社の独自データベースを用いてターゲットリスト作成
・送信件数制限なし
・リード獲得時点ではなく、アポ獲得時点で成果報酬が発生


■営業ターゲットと営業タイミングを予測「ABMデータベース」
https://peer-lodge.com/abm/database

・全国約500万社の月次従業員数推移データ
・求人サイトへの出稿情報
・プレスリリース情報
・資金調達情報
・SNS投稿データ

などを元に、受注に繋がりやすい「ターゲット」と「タイミング」を予測",,
株式会社アフェックス,,https://afx-pro.com/,,〒110-0005 東京都台東区上野6丁目1番11号 平岡ビル7階,,https://docs.google.com/forms/d/e/1FAIpQLSfLkbqmqZcX0GxLSkUyzzn8zcTHL_l52zzlpkRCYbAuNyN9NA/viewform,経岩宗高,,その他,E：未接触,未契約,"常駐型プロジェクト支援サービス
WEB広告運用・コンサルティング・SEO
ホームページ制作
有料職業紹介事業
介護タクシー
オーガニックコットンの子供服販売
eスポーツ大会の企画運営",,
株式会社エッグシステム,,https://eggsystem.co.jp/,,〒160-0023　東京都新宿区西新宿8-11-10 星野ビル3階,,https://eggsystem.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"コンサルティングエンジニアサービス
内部統制（ガバナンス）支援サービス",,
株式会社システムシェアード,,https://www.3sss.co.jp/index.html,03-3526-2991,東京都千代田外神田1-18-13 ダイビル13F,,https://www.3sss.co.jp/inquiry/,経岩宗高,,開発,E：未接触,未契約,"■事業
・システム開発事業
・ＩＴ教育事業

■実績
・新人研修年間受講者3,000名突破、東京No.1に
・awsサンドボックス ローンチ
・経団連加盟
・awsトレーニングチケット唯一の販売窓口に指定
・全国7カ所に営業拠点
・フランクリンコヴィジャパン社と契約",,
株式会社 Hogetic Lab,,https://hogetic-lab.com/,,東京都千代田区一番町4-4 THE CROSS 一番町 ４階        ,,https://hogetic-lab.com/contact/,経岩宗高,,プロダクト,E：未接触,未契約,"DCaaS事業
AI開発事業
データ人材研修事業",,
株式会社Topotal,,https://topotal.com/,,東京都江東区有明３丁目７－１１有明パークビル２０Ｆ,,https://docs.google.com/forms/d/e/1FAIpQLSedR49cEgIP2QU_4NT4GojAQ_Nxllh-FG15KgfJkhIEEkn9-g/viewform,経岩宗高,,プロダクト,E：未接触,未契約,"- SRE支援
- インシデントマネジメントツール「Waroom」の提供・運営",,
株式会社アイテック,,https://www.itec.jp/,,〒105-0003 東京都港区西新橋1-18-6 クロスオフィス内幸町6F,,https://www.itec.jp/contact/index.html,経岩宗高,,開発（エージェント）,E：未接触,未契約,"
働いていく上で、求められる能力やスキルは常に変化しています。

あらゆる産業でこれからの成長戦略として、デジタル・トランスフォーメーション（DX）と脱炭素につながるグリーン・トランスフォーメーション（GX）の２つがこれからの柱になるなか、日本で働く全ての人々が「GDX力」を備えることで、社会の発展を支える人材の厚みを増すこととなります。

全ての企業人が 「生涯学び直し」を続け、それぞれのニーズに応じた「GDX力」を身につけることによって、「GDX力」を活用した付加価値創造を絶え間なく行う社会。

こうした社会の実現に貢献することが当社の使命です。
",,
株式会社ASTO System,,https://www.asto-system.co.jp/,03-5297-8207,東京都千代田区鍛冶町一丁目4番7号 彦田ビル2階,info@asto-system.com,https://www.asto-system.co.jp/inquiry/index.html,経岩宗高,,開発,E：未接触,未契約,"システム開発
オーダーメイドの受託開発
その他下記自社商品の販売
会員管理システム、教育機関向けシステム
派遣スタッフ管理システム、ポータルシステム
介護スタッフの業務管理システム",,
株式会社ニシノ・アイティ・オフィス,,https://nishino-office.net/,052-508-9477,〒461-0004 愛知県名古屋市東区葵2丁目3-15 FAMILLE葵ビル4F,,https://nishino-office.net/contact.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"設立１９年目のIT企業です。
弊社は名古屋市(東区葵)と大阪(北区梅田)、東京（中央区銀座）にオフィスがございます。
拠点は名古屋市東区に事務所があり、現在、大阪と東京は非常勤にしております
事業内容は主にWEB制作、ホームページ制作、ＥＣサイト制作、小売業、ITコンサルティング、他です。
特にネットショップ構築、運営サポートを得意としております。
Yahoo!ショップ、楽天市場、ショップサーブ,メイクショップ、アマゾン、カラーミー、Shopify、auPAYマーケット、他の構築実績が多数あり、また取次代理店にもなっております。",,
株式会社BSクリエイト,,http://bs-create.com/,06-6484-0390,〒542-0073大阪市中央区日本橋1-2-6日本橋河辺ビル8F,,http://bs-create.com/inquiry,経岩宗高,,開発,E：未接触,未契約,"印刷業務
事務経理業務の委託処理・代行業務
広告企画・WEBサイトの企画及び制作
グラフィックデザイン・DTP及びWEBの企画及び制作
輸出入貿易業務
経営コンサルタント業務
WEBを利用した各種情報提供サービスおよび商品販売
卸及び小売業務",,
株式会社タスタス,,https://www.tas-tas.jp/,,〒101-0047 東京都千代田区内神田1-11-5 カーサ内神田202,,https://tas-tas.jp/contact/,経岩宗高,,開発,E：未接触,未契約,"▼主な事業内容
ウェブアクセス分析、ウェブサイト構築コンサルティング、ウェブシステム開発、ウェブサイト制作、各種アプリケーション開発、スマートフォンゲーム開発、人工知能研究開発支援、飲食店事業、雑貨製造・販売",,
株式会社プロモーション,,https://promotion.co.jp/,03-5775-2604,〒107-0062 東京都港区南青山3-18-11ヴァンセットビル3F,,https://promotion.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,当社は「ビジネス資質」という切り口で人・組織のデューデリを行うコンサル会社です。創業２１年目を迎え、大手上場・優良企業中心に、【稼ぐ人材】を採用するための 人財探知機診断や、組織パフォーマンスを向上させる組織戦略(適材配置や上司/部下の相性マッチング)で更なる成長のお手伝いをさせていただきます。,,
Nobollel株式会社,,https://nobollel.com/,,〒150-0036 東京都港区芝4-1-23 三田NNビル15F,,https://nobollel.com/contact,経岩宗高,,開発,E：未接触,未契約,ゲームアプリケーション開発,,
株式会社イクシアネクスト,,https://www.nextt.co.jp,045-878-5633,〒222-0037神奈川県横浜市港北区大倉山3-5-11-B,,https://www.nextt.co.jp/contact.html,経岩宗高,,開発,E：未接触,未契約,女性が働きやすいWebデザイン会社の存在へをモットーとしております。実績にも女性消費者向けのサービスを扱っている企業さまのWebサイトの制作や運用の実績が多数になります。,,
株式会社イーディーエー,,https://www.eda-inc.jp,03-5422-7524,〒106-0032 東京都港区六本木7丁目14番23 ラウンドクロス六本木4F,,https://eda-inc.jp/contact/,経岩宗高,,開発,E：未接触,未契約,,,
株式会社京栄コンサルティング,,https://kyoei-consulting.com/,052-414-4770,〒450-0002 愛知県名古屋市中村区名駅3-22-8 大東海ビル4F,marketing＠kyoei-c.jp,https://kyoei-consulting.com/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"【すべて応募課金サービス】
★採用サイト運用代行
★集客代行サービス
★求人メディア運営",,
株式会社YNS,山崎学,https://y-n-s.co.jp/,,〒110-0015 東京都台東区東上野1-6-2　東陽ビル6F,,https://y-n-s.co.jp/contact,経岩宗高,2023/04/21,開発,D：対応しない,未契約,フィリピン開発拠点あり▼主な事業内容 ・DX推進：社内の課題解決のサポート全般でお役に立てます。コンサルティングだけでなく、ノーコードDXで安価にソリューション提供も致します。 ・WEBシステム開発：POS、予約管理システム、求人媒体など、さまざまな分野で開発実績があります。おもにPHPで安全なアプリケーションをつくります。 ・保守チームの一新：エンジニアリソースが不足していたり、保守費が高かったり、運用がうまくいっていなかったりするなら、おまかせください。空気を一新し、低コスト化を実現しましょう。 ・新規ITサービス立ち上げ支援：新規事業を立ち上げる際に技術的な課題に直面している方や、アイディアはあるがどのようにアプリに落とし込めば良いかわからず悩んでいる方のために、技術のプロとして要件定義や課題抽出などのサポートをします。,,
株式会社クロス・オペレーショングループ,,https://eye-sales.com/,03-3431-6194,〒105-6219　東京都港区愛宕2-5-1 愛宕グリーンヒルズ MORIタワー19F,,https://smartdx.airtrip.co.jp/contact/,経岩宗高,,開発,E：未接触,未契約,BtoBにおけるセールスフロー全般の構築支援や新規事業の立ち上げ支援をしております。,,
株式会社アイティーブレーン,,https://www.it-brn.com,03-3221-5020,〒 102-0083 東京都千代田区麹町 2-2-22 ACN 半蔵門ビル 11F,,https://it-brn.com/contact/,経岩宗高,,プロダクト,E：未接触,未契約,"アジャイル開発
C#やJavaを中心に開発をしています。
PaaS や Serverless を意識した開発が中心です。DevOpsを実践し、最適な開発を追求しています。

Vue.js / React / Node.js /デスクトップアプリ
各種js や WPF/UWP を使った開発をしています。

インフラ設計・構築・運用
コンサルティングおよび設計構築～運用まで業種・業態を問わず最適なソリューションを提供いたします。

クラウド活用
AWS や Microsoft Azure 、GCP などのクラウドサービスからオンプレ環境まで、お客様の要件に最適なプランを提案させていただき、設計から構築、移行、運用まで各種の支援を実施いたします。

SAP導入コンサルティング
以下の工程により SAP導入をワンストップでサポートいたします。

業務分析・提案
各部門の業務に合わせた SAP 設定
導入までのシステム動作確認
追加開発
導入後の保守作業

コンサルティング
現状分析から得られる問題点・課題点を抽出し、お客様のビジネスに最適な解決策を提案いたします。
また、潜在化しているリスクを洗い出し、将来を見据えた対策を中長期スパンで提案いたします。",,
株式会社UPSIDER,宮城 徹、水野 智規,https://up-sider.com/lp/,,東京都港区六本木7-15-7,,https://up-sider.com/lp/contact.html,経岩宗高,2024/04/05,開発（プロダクト）,E：未接触,未契約,"【事業概要】
「上場のための法人カード」の提供。
初期費用・月額利用料　基本無料
決済額あたりのポイント、外貨建ての決済で1.5~4.5%お得


【解決している課題】
● 限度枠が足りなくて後払いのカードが使えなく、機会損失が発生してしまっている
● 今後アクセルを踏む際に限度額に不安があるので備えておきたい
● 利用明細への反映が遅い等でタイムリーな会計処理や管理面で問題がある

【実績】
● 導入企業数百社
Forbes JAPAN | Japan’s CLOUD TOP10の内4社が利用しています
● 利用継続率99%以上

成長企業の皆様のお役に立つのではと考えておりますので、是非お話させて下さい。
お互いにとって有意義な時間をご提供できればと思っております。

UPSIDER　LP ：    [https://up-sider.com/lp/]
プレスリリース：　[https://signal.diamond.jp/articles/-/898]",オンリーストリー、クラウドテック,
Spready株式会社,,https://client.spready.jp/,,〒150-6019 東京都渋谷区恵比寿4丁目20番3号　恵比寿ガーデンプレイスタワー19F,,https://client.spready.jp/inquiry,経岩宗高,,プロダクト,E：未接触,未契約,新規事業開発に必要な出会いを提供するSpreadyというマッチングプラットフォームを運営しています。「仮説検証のインタビュー」「専門家への相談」「協業パートナー探し」など、事業開発に必要なあらゆる出会いを創出します,,
株式会社メディアミックス,,https://mediamix.jp.net/,06-7777-1887,大阪府大阪市北区大深町3番1号 グランフロント大阪 北館 ナレッジキャピタル コラボオフィス8階 nx27,,https://mediamix.jp.net/contact/,経岩宗高,,その他,E：未接触,未契約,"【実質0円で採用できる！】方法を試してみませんか？人材採用でお困りの方、どうぞお任せください！
　
実質0円で「大学新卒」または「中途採用」が獲得できるプロジェクトがスタートしました！
　
あなたの会社では、このようなお悩みはありませんか？
　
・新卒を採用したいけどアピール方法がわからない
　
・中途採用をしたいけどなかなか人が集まらない
　
・なるべくコストをかけずにいい人材を採用したい
　
このようなお悩みを一気に解決できる画期的なサービスについて
無料で参加できる「オンライン説明会」を開催してます。
　
説明会ご参加の際は
「顔出し＆発声なし（視聴のみで参加可能）」で
プロジェクト内容を見てもらうことが可能で
安心してご参加いただける環境をご用意しました。
　
　
毎日
昼開催：12:10～12:50
夜開催：19:00〜19:40
　
このプロジェクトに興味がある！という方は
「オンライン説明会」を開催しておりますので
ご都合の良い日時でぜひご参加ください。



「人財0円採用プロジェクト説明会」（参加費：無料）
https://v2.nex-pro.com/campaign/35154/apply",,
株式会社エーピーコミュニケーションズ,,https://www.ap-com.co.jp/,03-5297-8011,〒101-0044　東京都千代田区鍛冶町2丁目9番12号 神田徳力ビル 3階,,https://www.ap-com.co.jp/contact/contact-ja.html,経岩宗高,,開発（プロダクト）,E：未接触,未契約,システムインテグレーション事業、技術者派遣事業、研究開発事業、サービス開発事業,,
株式会社CAMI&Co.,,https://cami.jp,,〒141-0022 東京都品川区東五反田1-10-8 五反田S&Lビル 7F,,https://cami.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"IoTの新規事業支援を調査/コンサルからソフト・ハード・ファーム・量産・保守まで行っております。

得意分野（IoT、ヘルスケア、製造業、デジタルトランスフォーメーション）.

慶應SFC→ユニシス研究所→アクセンチュア戦略→ロボ会社役員→起業.
「IoTビジネス未来戦略/日経BP」執筆

慶應義塾大学環境情報学部（SFC）卒業後、同大学院修了 (國領二郎研究室)。その後、日本ユニシスで「目玉おやじロボットPJ」を立上げ、ロボットやIoTに興味を持つ。アクセンチュア戦略部門を経て、IT、経営、ハードウエアの経験から、日本でも稀な「IoT総合ものづくり企業」株式会社CAMI&Co.（キャミーアンドコー）を設立。IoT製作見積もりサイト『EstiMake（http://esti-make.com/）』やIoTデザインに特化した『EstiMake-Design（http://esti-make.com/design/）』、AI制作見積サービス『EstiMake-AI（http://esti-make.com/ai/）』、IoT教育事業『IoT-School(http://www.iot-school.jp/)、FabスペースIoTLaB（https://cami.jp/iotlab/）』などのサービス、IoT総合研究所などの組織を展開。
ビッグデータ解析やO2O、AR、VR、システム開発、展示会用の動きのある展示物開発（http://makexpo.jp/）、補助金コンサルティングサービスなどを行っている。
【他役職】KDDI∞ラボ社外アドバイザー・都立産技研IoT支援事業アドバイザー・慶應KBCメンター・企業顧問など",,
株式会社PIXEL HEARTS,,https://pixel-hearts.co.jp/,,〒141-0031 東京都品川区西五反田3-6-20 いちご西五反田ビル7F,,https://pixel-hearts.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"受託制作・マーケティング事業
SES・エンジニア派遣事業

PIXEL HEARTSでは、ビジネスの背景の理解からWEBサイト・アプリケーションの開発、カスタマージャーニーに基づいた、UI/UXの設計、マーケティング・広告運用、保守運用までをワンストップで行っております。それぞれの分野を一貫して行うことにより、アウトプットの質の向上・クライアントが求めるゴールの追求をともにおこなっております。",,
株式会社ネクスタ,,https://nexta-fa.co.jp/company,06-6539-5505,〒550-0011　大阪市西区阿波座 2-1-1 CAMCO西本町ビル 2F,,https://smartf-nexta.com/contact,経岩宗高,,その他,E：未接触,未契約,製造業向けに特化した工場改善システムのプラッ製造業向けに特化したスモールスタートできる生産管理クラウドシステム「スマートＦ」を提供しています。月額数万で必要最小限の機能から少しずつスタートでき、製造現場に詳しいIT人材により、無料診断や上手く運用できるまでの導入支援を行います。手書きやエクセル管理などの手間やミスが削減し、現場の見える化で生産性向上や改善活動を実現します。,,
株式会社ブリスウェル,,https://briswell.com,03-6450-4848,〒105-0012 東京都港区芝大門1-4-14 芝栄太楼ビル2F,info@briswell.com,https://www.briswell.com/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"株式会社ブリスウェルの代表の山口です。
弊社は東京都港区のソフトウェア開発企業です。
AWSを活用したソフトウェア開発を得意としており、AWSのテクノロジーパートナーでもあります。
大手企業からベンチャー企業まで幅広いお客様をシステム面からサポートさせて頂いております。
様々なシステム開発案件で培ったノウハウを活かし、「アイカタ」というクラウドERPソリューションも展開しております。",,
株式会社ミラクルネット,,https://miraclenet.co.jp/,,162-0822　東京都新宿区下宮比町2−28,,https://miraclenet.co.jp/contact,経岩宗高,,開発,E：未接触,未契約,"事業内容：
出張シェフサービス 　一流の料理とおもてなしをあなたへ･･･
デイサービス開業支援　企業知識ゼロからでも安心のフルサポート
半日型リハビリデイサービス　3時間の半日型リハビリデイサービス
IT事業　システム開発・運用・保守
",,
miracleave株式会社,,https://www.miracleave.co.jp/,03-6222-9800,〒103-0006 東京都中央区日本橋富沢町7-1　ザ・パークレックス人形町4F,info@miracleave.co.jp,https://www.miracleave.co.jp/contact/,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"設立6年目の企業です。
当社はシステム開発会社で大手上場企業様～スタートアップ企業様まで幅広くシステム開発を支援させて頂いております。
会社の方針として、お客様のニーズに沿った内容を元に一緒に考えさせて頂いてからの提案をさせて頂いております。
また、通常のシステム開発をするとコストがかかりすぎてしまう傾向があるため、お客様のニーズに沿った開発プランのご提案も可能としております。ご興味がありましたらご相談いただけましたら幸いです。

【当社が提供できるプロジェクト支援サービス】
・リモート運用保守サービス
・請負型プロジェクト支援
・お客様先常駐型プロジェクト支援(SES)
・ラボ型プロジェクト支援
",,
株式会社やどかり,,https://www.yadokari.tv/,03-3865-1345,〒101-0032 東京都千代田区岩本町２丁目１−１８ フォロ・エムビル8F,,https://www.yadokari.tv/contact/,経岩宗高,,開発,E：未接触,未契約,,,
株式会社GatewayLink,,https://www.gatewaylink.co.jp/,,東京都千代田区鍛冶町1-6-17 合同ビル,,https://www.gatewaylink.co.jp/contact/,経岩宗高,,その他,E：未接触,未契約,"法人向けネットワークサービス全般
・光回線、ISPの提供
・オフィスのWi-Fi化
・VPNの構築、保守、運用、サポート
・サイバーセキュリティ強化（UTMの設定、設置、保守、サポート）
・各種サーバーの構築、運用、保守
・ネットワーク機器の設定、販売
・各種保守請負
・LAN配線工事等

以下のようなお悩みを解決します
・インターネットが遅い
・LAN配線がぐちゃぐちゃ
・VPNに多額のコストがかかっている
・サイバーセキュリティ、どうしたらいいかわからない
・UTMのライセンスが切れそう、切れてしまった
・社内に技術者がいないので、時代について行けてない感がある
・ファイルサーバーのバックアップを取りたい

インターネット関連で「出来ない」ことはありません。
なんでもお気軽にご相談ください。",,
株式会社マスターマインド,,http://www.mastermindco.com/,,,,,経岩宗高,,,E：未接触,未契約,"人材紹介
エンジニア派遣
IT補助金ベンダー
",,
株式会社ディーシステム,,https://www.dsystem.co.jp/,03-5462-7251,〒108-0075　東京都港区港南2-16-4 品川グランドセントラルタワー 3F,,https://www.dsystem.co.jp/contact/,経岩宗高,,開発（エージェント）,E：未接触,未契約,"景気に左右されにくい製薬・化学業界を中心とした事業展開において、ITシステム運用・開発で培ってきた技術を基盤に、同業他社に比べて非常に優位性の高い仕組みを構築し、お客様の課題を解決する「ソリューション」を提供しています。
また、大手企業のノウハウを基に、中小企業の情報システム部支援、ITトータルアウトソーシングも手掛けており、中長期においてDX支援も可能となっております。


【事業内容】
SAP運用事業：SAP社のERPパッケージをベースとした基幹システムの開発・運用
運用支援事業：システム運用、アウトソーシング設計、運用設計、ヘルプデスク
開発支援事業：業務AP及びWebAP要件定義・システム設計・PG、インフラ設計・構築
DX支援事業：データ分析、アルゴリズム開発、及びAIソリューション導入支援
労働者派遣事業：ITに特化したフリーランス向け人材派遣サービスの提供　LifeActor（ライフアクター）運営事業

【主要取引先】
アステラス製薬株式会社（及び関連会社）、田辺三菱製薬株式会社、日本新薬株式会社、
住友化学システムサービス株式会社、日本ベーリンガーインゲルハイム株式会社、アクセンチュア株式会社",,
株式会社CRIEN,,https://www.crien.jp/,,〒106-0031 東京都港区西麻布2-10-3-503,,https://lh6.googleusercontent.com/NW21i5v4cQDCl7MmQgx8Gx9t0gbj9teO-if0JsxVmIIS77q5b9x2qLMHOwagOKj-Gotuda8NzUq8McvTQqZqorSDf5YlZOzqdPFbdFqSmXdhv-hYCLXXF2eVyUPcMvCT_Q=w1280,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"■概要
株式会社CRIENは、最新テクノロジーの研究開発で培ってきたノウハウを活かし、地域や食をDX/スマート化するITサポートの専門家です。

■地域と食のDXコンシェルジュ事業
IT研究開発やシステム開発、ベンチャー企業経営で培ったきたノウハウを活かし、地域や飲食店をトータルサポート

■最新テクノロジー研究開発・新規事業開発
次世代テクノロジーの研究開発を行い、イノベーティブな事業創出にチャレンジ
AI、IoT、ブロックチェーン、RPA、ドローン、VR・AR、ビッグデータ...など、様々なデジタルテクノロジーを実事業に応用できるよう研究開発を
行な、次世代ビジネスモデルへの技術採用へと結びつけています。
",,
株式会社ハックツ,,https://hackz.team/,,〒812-0051 福岡県福岡市東区箱崎ふ頭３丁目３−２１ レクサスガーデン箱崎タワーズイースト1301号,,https://hackz.team/contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,学生エンジニアに特化したサービスを展開,,
株式会社PitPa,,https://PitPa.jp,,〒150-0042　東京都渋谷区宇田川町15-1 渋谷パルコDGビル,,https://blog.pitpa.jp/forms?_gl=1*1l81dnr*_ga*MTU2NzI0NDM0OS4xNzE1MjMwNjYw*_ga_1D5XRB60MW*MTcxNTIzMDY1OS4xLjAuMTcxNTIzMDY1OS42MC4wLjA.,経岩宗高,,開発,E：未接触,未契約,"ポッドキャストプロダクションを運営してます。
人気番組はJoi Ito Podcastで、Web3,NFTをテーマに扱っている番組です。
その番組からスタートした、Web3の事業もスタートしています。",,
株式会社JV-ITホールディングス,,https://jv-it.jp/,050-3196-3073,東京都新宿区四谷3-11 光徳ビル201,contact@jv-it.jp,https://jv-it.jp/contact/?refer=home,経岩宗高,,開発,E：未接触,未契約,"ベトナムオフショア開発、カンパニーマイル
日本企業向けに特化したベトナムオフショアを活用してWebシステム開発、アプリ開発をしませんか？
システム開発15年の経験と知識で貴社をバックアップします！

【開発事例※抜粋】
・葬儀場のDXソリューション開発
・非接触景品システム開発
・ライブ配信システム開発
・行動目標管理アプリ開発
・感情記録アプリ開発",,
株式会社Co-Lift,,https://www.co-lift.com,,〒151-0053　東京都渋谷区代々木五丁目7番5号604,,https://www.co-lift.com/#contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"新規事業領域に特化した事業コンサルティングおよび事業立ち上げにソフトウェア開発をご提供しているCo-Liftという会社を経営しております。2017年に楽天時代の同僚だったエンジニアと共に起業し、22年より6期目を迎えます。

組織やファイナンス含めた上流の経営コンサルティングから事業構想のアイディエーション段階から実際のプロダクト開発〜スケールまで一気通貫のご支援を特徴としております。

これまでに大手商社子会社での業界特化型業務SaaS事業における複数新規サービスの開発・立ち上げや未上場スタートアップの動画教育サービスの立ち上げ、大手食品メーカーの全社DXプロジェクト推進などを手掛けて参りました。
また上記のプロジェクトの中で顧客のID化やデータ利活用を視野に入れたクライアント社内でのID/データ基盤構築の企画・ディレクションからパートナーベンダーへの要件定義支援なども並行して手掛けています。

「DX」という言葉にまつわる課題感は領域も課題の大小も様々ですが、課題構造自体の整理から、最もインパクトを生む解決への道筋を見出し、時には弊社以外の各専門領域ごとの他企業との連携の提案なども踏まえながら「顧客の課題解決」を最優先した「DXゲートウェイ」的な役割を期待頂くことも昨今では増えております。

約15名いる高い技術力を持ち、サービス開発を数多く経験してきたフルスタックエンジニアチームの存在が他のコンサル業態企業と比較した際の優位性でもあり、少数精鋭であることを活かし、再少人数で最速で高品質なプロダクト立ち上げを実現し、クライアント企業の「失敗コストの最小化」と「新たな事業の成長の加速」を両立させることをミッションとしております。

課題感がまだ曖昧な段階でのご相談も承りますので「新規事業立ち上げ」や「DX」といったワードに関連した課題をお持ちでした是非お声掛けください！",,
株式会社エイチームライフデザイン,,https://life-design.a-tm.co.jp/,,〒450-6432 愛知県名古屋市中村区名駅三丁目28番12号 大名古屋ビルヂング32F,,https://www.a-tm.co.jp/contact/,経岩宗高,,その他,E：未接触,未契約,"一人ひとり、考え方や環境によって正しい答えは違うものです。
情報が溢れた社会では、誰かにとっての良い選択は存在しても、
自分にとっての良い選択が何なのかが簡単にはわからず、
様々な「まよい」が生まれています。

それだけでなく、情報が不足していてわからない、手間が多いから悩む、
いつやるか決められない、面倒だから先送りする、漠然とした不安から動けないなど、
多くの「まよい」があります。

私たちはITと人の力で一人ひとりの「まよい」に寄り添い、
「よくわかる」、「簡単にできる」、「安心できる」を提供し、背中を押すことで、
「よかった」をお届けする存在になることを目指します。",,
株式会社ファーストアセント,,https://first-ascent.jp,,104-0061 東京都中央区銀座7-13-6サガミビル2F,info@first-ascent.jp,https://first-ascent.jp/#contact,経岩宗高,,開発（プロダクト）,E：未接触,未契約,"CES2021 Innovation Awards受賞のBabyTechベンチャー
育児記録アプリ「パパっと育児＠赤ちゃん手帳」の開発、寝かしつけ支援スマートベッドライト「ainenne」の開発、子育て支援サービスの提供。
その他に、システム開発およびコンサルティング事業、IoT（Internet of Things）事業開発およびコンサルティング事業、機械学習などによるデータ解析事業を展開。
〈受賞歴〉
BabyTech Award Japan 2019 健康管理部門 大賞
第8回　健康寿命をのばそう！アワード
厚生労働大臣賞　企業部門　優秀賞
X-tech Innovation 2018 最優秀賞
かながわビジネスオーディション 2019 各種団体賞
第８回キッズデザイン賞",,
株式会社アドミューズ,,https://www.ad-muse.com/,03-6277-4870,〒101-0048　東京都千代田区神田司町2-2-13　クリエイト本社ビル6F,,https://www.ad-muse.com/contact/,経岩宗高,,開発,E：未接触,未契約,"IT・製造業に特化したWebコンサル・マーケティング会社

BtoBサイト制作
戦略策定
制作・構築
運用(伴走型支援)
SEO対策
コンテンツマーケティング

上記内容を主軸とし、コンサルティングからマーケティングまでワンストップで支援しています。
",,
